NODE	NODE_CATEGORY	LEAF_CNT	CATEGORY_CNT	LEAF_PCT	MDE_AMB	MDE_ELE	NCD_AMB	NCD_ELE	NTS_CREO_AMB	NTS_CREO_ELE	NTS_CRUST_AMB	NTS_CRUST_ELE	ORNL_AMB	ORNL_ELE	CRUST_AMB_064	CRUST_ELE_004
000	Root	403	21	NA	64911	54482	36228	41571	43526	79360	49429	88597	51676	43815	20532	26242
001	Multi-Phyla (8)	149	8	NA	4294	3627	1846	2133	2644	4905	3522	6726	3127	2529	1781	1950
002	Cyanobacteria+Firmicutes	68	2	NA	632	468	221	251	186	366	265	545	312	289	138	138
003	Cyanobacteria+Firmicutes	38	2	NA	88	72	38	48	64	74	255	546	46	38	78	24
004	Cyanobacteria	16	1	100	375	311	168	179	168	257	566	1246	249	200	249	113
005	Cyanobacteria	15	1	93.8	134	123	76	88	82	110	387	913	125	80	150	50
006	Cyanobacteria	14	1	87.5	287	260	110	122	189	188	648	1720	184	172	346	81
007	Cyanobacteria	2	1	12.5	12	13	6	12	5	8	26	94	6	7	15	5
008	Cyanobacteria	12	1	75	108	94	56	68	70	115	251	689	108	70	121	46
009	Cyanobacteria	11	1	68.8	280	260	172	193	348	278	1672	4087	226	199	831	121
010	Cyanobacteria	8	1	50	160	165	105	90	197	179	1180	2876	133	111	525	78
011	Cyanobacteria	3	1	18.8	188	248	131	142	413	274	1870	5223	210	168	738	110
012	Cyanobacteria	2	1	12.5	70	83	26	29	94	39	488	1701	53	33	223	21
013	Cyanobacteria	5	1	31.3	32	34	14	8	36	29	181	475	21	20	102	20
014	Cyanobacteria	2	1	12.5	20	26	10	16	27	25	159	431	23	14	66	9
015	Cyanobacteria	3	1	18.8	11	6	8	9	8	4	38	82	5	8	19	2
016	Cyanobacteria	2	1	12.5	1	0	1	0	0	0	2	3	0	1	2	0
017	Cyanobacteria	3	1	18.8	45	42	28	33	76	43	329	789	29	23	183	16
018	Cyanobacteria	2	1	12.5	51	49	32	35	86	61	438	865	38	35	207	27
019	Firmicutes	22	1	35.5	94	63	21	26	10	37	24	34	43	36	19	13
020	Firmicutes	4	1	6.5	4	1	1	1	0	0	0	0	0	0	0	1
021	Firmicutes	3	1	4.8	0	0	0	0	0	0	0	0	0	1	0	0
022	Firmicutes	2	1	3.2	0	0	0	0	0	1	0	1	0	0	0	0
023	Firmicutes	18	1	29	60	50	5	18	16	25	14	28	16	12	5	8
024	Firmicutes	3	1	4.8	3	4	2	1	0	3	1	2	3	1	1	0
025	Firmicutes	2	1	3.2	210	162	40	50	34	68	41	95	75	60	22	34
026	Firmicutes	15	1	24.2	105	92	20	37	19	36	33	88	38	32	22	12
027	Firmicutes	9	1	14.5	53	61	18	26	13	29	9	20	21	16	8	10
028	Firmicutes	7	1	11.3	22	7	3	2	1	5	3	8	4	5	2	1
029	Firmicutes	6	1	9.7	70	73	29	28	11	29	15	29	31	21	7	10
030	Firmicutes	5	1	8.1	64	51	22	23	41	45	33	71	29	23	13	22
031	Firmicutes	2	1	3.2	17	22	6	14	1	9	3	13	14	11	2	3
032	Firmicutes	3	1	4.8	13	7	2	3	1	3	3	4	4	5	4	1
033	Firmicutes	2	1	3.2	8	14	2	1	3	4	2	3	3	1	1	2
034	Firmicutes	2	1	3.2	9	9	1	5	2	6	4	8	5	1	2	3
